Bathrooms (bin),Bedrooms (bin),Condition,Date,Id,Price (bin),View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
3.2,4,Average,10/22/2014,629000615,1488K,No View,No,1962,98004,3.25,4,2,10,47.5862,-122.198,1495000,3070,10375
3.2,4,Very Good,11/26/2014,4141800215,1488K,No View,No,1916,98122,3.75,4,2.5,9,47.6157,-122.287,1495000,3770,4000
2.4,4,Good,1/29/2015,6448000020,1488K,No View,No,1967,98004,2.5,4,1,9,47.6214,-122.227,1490000,2420,18480
3.2,3,Average,3/31/2015,9522300010,1488K,Average,No,1990,98034,3.5,3,2,12,47.6995,-122.228,1490000,4560,14608
3.2,5,Average,9/11/2014,31000165,1488K,Average,No,1958,98040,3.5,5,2,10,47.5738,-122.215,1490000,3620,7821
5.6,5,Average,8/22/2014,8835770170,1488K,Good,No,2007,98045,6,5,2,12,47.4624,-121.779,1488000,6880,279968
4.0,4,Average,7/18/2014,4139500080,1488K,Good,No,1998,98006,4.25,4,2,12,47.5513,-122.109,1488000,5180,13077
3.2,4,Average,6/12/2014,3885805665,1452K,No View,No,2006,98033,3.75,4,2,10,47.6821,-122.196,1485000,4030,10800
3.2,4,Average,10/1/2014,3885805175,1452K,No View,No,2006,98033,3.25,4,2,10,47.6824,-122.199,1485000,3730,7200
2.4,6,Average,5/6/2015,8835401250,1452K,Good,No,1964,98118,2.75,6,2,10,47.5462,-122.265,1485000,4430,6440
3.2,4,Average,10/2/2014,7582700075,1452K,No View,No,2007,98105,3.5,4,2,10,47.6646,-122.28,1485000,3930,6120
2.4,5,Very Good,9/23/2014,5450900060,1452K,No View,No,1965,98040,2.5,5,2,10,47.5553,-122.22,1484900,4570,19252
1.6,3,Average,5/7/2015,4217401035,1452K,No View,No,1939,98105,2.25,3,2,9,47.6582,-122.28,1482500,3290,5000
3.2,4,Average,8/20/2014,8920100066,1452K,Good,No,2006,98075,3.5,4,2,11,47.592,-122.085,1481000,5220,15411
3.2,3,Average,7/28/2014,3892500070,1452K,No View,No,1991,98033,3.5,3,2,11,47.659,-122.174,1480000,4070,26000
1.6,4,Average,7/23/2014,5700003810,1452K,No View,No,1928,98144,2.25,4,2,10,47.5731,-122.284,1480000,3920,7200
3.2,3,Average,7/11/2014,5167000140,1452K,No View,No,1998,98033,3.25,3,2,11,47.6653,-122.205,1480000,3700,2264
1.6,3,Average,7/21/2014,2911700020,1452K,Average,No,1953,98006,2.25,3,2,9,47.574,-122.18,1476000,4470,22518
3.2,5,Average,1/14/2015,4139910180,1452K,No View,No,1990,98006,4,5,2,12,47.5468,-122.123,1475000,4770,31570
3.2,5,Good,12/10/2014,4217401365,1452K,No View,No,1927,98105,3.25,5,1.5,10,47.6548,-122.28,1475000,3680,10300
2.4,3,Very Good,2/18/2015,1118001360,1452K,No View,No,1949,98112,2.75,3,1,9,47.6324,-122.289,1475000,3910,7080
2.4,4,Good,8/27/2014,5317100530,1452K,No View,No,1926,98112,3,4,2,9,47.6253,-122.284,1475000,3050,6179
2.4,3,Average,4/21/2015,6762700515,1452K,No View,No,1984,98102,2.5,3,2,11,47.6295,-122.32,1475000,2570,5000
2.4,4,Average,11/20/2014,6645900010,1452K,No View,No,2003,98004,2.5,4,1,9,47.6367,-122.206,1470000,3030,10189
3.2,4,Average,5/19/2014,4139900050,1452K,No View,No,1988,98006,3.25,4,2,12,47.5469,-122.127,1468000,5010,34460
3.2,4,Average,1/2/2015,98000150,1452K,Good,No,2004,98075,4,4,2,12,47.5874,-121.965,1465000,4930,22093
0.8,3,Average,2/6/2015,868001705,1452K,Good,No,1940,98177,1.5,3,2,10,47.7018,-122.381,1465000,2480,9900
4.0,6,Good,7/9/2014,6169900580,1452K,Good,No,1916,98119,4.5,6,2,8,47.6301,-122.369,1465000,4230,6420
2.4,4,Average,10/30/2014,9551201240,1452K,No View,No,2011,98103,2.5,4,2,9,47.6695,-122.339,1465000,2800,4000
3.2,5,Average,6/20/2014,1251200045,1452K,Good,No,2008,98144,3.25,5,3,10,47.5929,-122.29,1462500,3840,4800
3.2,4,Average,10/17/2014,9197800010,1452K,Average,No,1996,98040,3.5,4,2,12,47.5331,-122.217,1460000,4200,14353
3.2,4,Average,4/28/2015,98300230,1452K,No View,No,2014,98024,4,4,2,10,47.5885,-121.939,1459000,4620,130208
0.8,4,Good,9/29/2014,1338800280,1452K,No View,No,1909,98112,1.5,4,2,9,47.6275,-122.305,1457000,2650,6900
3.2,5,Average,2/25/2015,1235100328,1452K,No View,No,2014,98033,4,5,2,10,47.6771,-122.187,1454000,4070,11334
3.2,2,Average,3/19/2015,1724069079,1417K,Good,Yes,1988,98075,3.25,2,2,9,47.5686,-122.06,1452000,2070,3128
3.2,4,Average,11/24/2014,2625069038,1417K,No View,No,2014,98074,3.5,4,2,11,47.6258,-122.005,1450000,4300,108865
3.2,4,Average,4/1/2015,6645950070,1417K,No View,No,2004,98029,3.5,4,2,11,47.554,-122.036,1450000,5000,38012
4.0,3,Average,5/2/2015,4055700030,1417K,Average,No,1977,98034,4.5,3,2,10,47.7183,-122.258,1450000,3970,24920
3.2,4,Average,10/13/2014,629800380,1417K,No View,No,1998,98074,3.5,4,2,12,47.6035,-122.005,1450000,4360,24603
2.4,5,Good,10/31/2014,3025300225,1417K,No View,No,1953,98039,2.75,5,1,9,47.6232,-122.235,1450000,3090,19865
2.4,4,Average,3/2/2015,4389200955,1417K,No View,No,1914,98004,2.75,4,1.5,8,47.6141,-122.212,1450000,2750,17789
3.2,3,Average,2/24/2015,3760500455,1417K,Fair,No,2000,98034,3.5,3,1,10,47.6996,-122.229,1450000,4110,15720
1.6,3,Average,3/27/2015,8964800695,1417K,No View,No,1949,98004,1.75,3,1,9,47.6204,-122.217,1450000,2230,13529
2.4,3,Very Good,10/7/2014,7855000460,1417K,Excellent,No,1967,98006,2.75,3,1,9,47.5654,-122.158,1450000,3940,9671
3.2,5,Average,10/21/2014,7324900016,1417K,No View,No,2008,98004,3.5,5,2,10,47.5918,-122.196,1450000,4170,9090
3.2,4,Average,3/25/2015,824059324,1417K,No View,No,2008,98004,3.5,4,2,10,47.5885,-122.199,1450000,3720,8301
3.2,4,Average,3/27/2015,4340000080,1417K,No View,No,1995,98004,3.5,4,2,10,47.622,-122.195,1450000,2820,7809
2.4,3,Very Good,10/13/2014,1373800295,1417K,Good,No,1952,98199,3,3,2,10,47.6452,-122.411,1450000,4380,6320
3.2,4,Very Good,7/7/2014,3528900330,1417K,No View,No,1925,98109,3.25,4,2,9,47.641,-122.349,1450000,3770,4103
3.2,4,Very Good,8/5/2014,1689400375,1417K,Average,No,1923,98109,3.25,4,2,9,47.6385,-122.348,1450000,3100,3900
3.2,4,Average,2/27/2015,9831200172,1417K,No View,No,2013,98102,3.5,4,3,10,47.6262,-122.323,1450000,2860,2199
3.2,4,Average,4/1/2015,1377300005,1417K,No View,No,2007,98199,3.5,4,2,11,47.6433,-122.403,1445000,3470,8580
2.4,4,Good,8/7/2014,6169901085,1417K,Good,No,1997,98119,2.5,4,3,9,47.632,-122.369,1445000,3200,3600
2.4,4,Average,12/1/2014,5494000040,1417K,Fair,No,1968,98004,2.75,4,1,8,47.616,-122.218,1444000,2660,9547
2.4,4,Very Good,10/6/2014,9831200520,1417K,No View,No,1905,98102,3,4,2.5,9,47.6282,-122.322,1443920,3720,5000
2.4,2,Average,8/28/2014,8835900220,1417K,Good,No,1953,98118,2.5,2,1,10,47.5499,-122.264,1442500,2720,16637
1.6,3,Good,4/23/2015,5556300076,1417K,Average,No,1987,98052,2.25,3,2.5,8,47.6485,-122.121,1442500,2630,9705
1.6,4,Average,10/14/2014,809002680,1417K,No View,No,1911,98109,1.75,4,1.5,8,47.6369,-122.355,1440000,2410,6000
3.2,3,Average,6/19/2014,2025049111,1417K,No View,No,2002,98102,3.5,3,2,11,47.6452,-122.317,1440000,3870,3819
3.2,5,Average,12/1/2014,5456000025,1417K,No View,No,2006,98040,3.5,5,2,10,47.5736,-122.212,1438890,3420,8000
3.2,4,Average,9/2/2014,1102000527,1417K,Good,No,2001,98118,3.75,4,3,11,47.5427,-122.265,1437500,4410,9231
3.2,4,Good,3/30/2015,4139430250,1417K,Good,No,1992,98006,3.5,4,2,11,47.5496,-122.12,1436000,4970,16582
2.4,4,Average,11/6/2014,856000985,1417K,No View,No,2003,98033,2.5,4,2,10,47.6906,-122.213,1430800,2910,7364
2.4,4,Average,9/11/2014,9290900160,1417K,No View,No,1966,98004,2.5,4,2,10,47.6292,-122.225,1430000,3380,27589
1.6,3,Average,3/3/2015,8964800225,1417K,Average,No,1949,98004,2,3,1,8,47.6203,-122.21,1430000,1890,12017
2.4,3,Average,3/4/2015,868002335,1417K,Excellent,No,1975,98177,2.75,3,1.5,9,47.7039,-122.385,1430000,2710,9204
4.0,5,Average,10/29/2014,4232900310,1417K,No View,No,2014,98119,4.25,5,2,10,47.6351,-122.364,1430000,3350,3600
4.8,4,Average,3/24/2015,98000130,1417K,Good,No,2005,98075,5,4,2,11,47.587,-121.966,1425000,4630,24054
2.4,5,Very Good,12/29/2014,1336800670,1417K,No View,No,1905,98112,3,5,2,9,47.6285,-122.309,1425000,2840,6240
4.0,4,Average,5/29/2014,6819100020,1417K,No View,No,1909,98109,4.25,4,2.5,11,47.6437,-122.356,1425000,4960,6000
